,id,county,state_pm,abs_pm,latitude,longitude,lanes
1579,402742,97,43.47,512.255,38.714797,-122.919956,2
1580,402743,97,43.47,511.587,38.714671,-122.920216,2
1581,402744,97,44.5,513.285,38.724755,-122.933815,2
1582,402745,97,44.5,512.617,38.724602000000004,-122.934036,2
1583,402746,97,45.02,513.805,38.729321,-122.94140800000001,2
1584,402747,97,45.02,513.137,38.729162,-122.941598,2
1585,402748,97,45.45,514.235,38.73499,-122.944745,2
1586,402749,97,45.45,513.567,38.734813,-122.944928,2
1587,402750,97,24.5,492.527,38.492672,-122.75143899999999,2
1588,402751,97,47.57,516.355,38.756315,-122.97183600000001,2
1589,402752,97,47.57,515.687,38.756135,-122.97195900000001,2
1590,402753,97,42.9,511.685,38.708797,-122.91288999999999,2
1591,402754,97,48.2,516.985,38.760993,-122.981554,2
1592,402755,97,48.2,516.317,38.760826,-122.98166200000001,2
1593,402756,97,48.6,517.385,38.76368,-122.98805700000001,2
1594,402757,97,48.6,516.717,38.763503,-122.988176,2
1595,402758,97,49.05,517.835,38.767641,-122.994584,2
1596,402759,97,49.05,517.1669999999999,38.767459,-122.994724,2
1597,402760,97,49.5,518.285,38.772940999999996,-122.99926299999998,2
1598,402761,97,49.5,517.617,38.772785,-122.99946000000001,2
1599,402762,97,52.1,520.217,38.807272999999995,-123.01213899999999,2
1600,402763,97,53.0,521.785,38.820240999999996,-123.01467099999999,2
1601,402764,97,53.0,521.117,38.820063,-123.01491000000001,2
1602,402765,97,51.0,519.785,38.791499,-123.011325,2
1603,402766,97,51.0,519.117,38.791512,-123.01164299999999,2
1604,402767,97,51.63,520.415,38.800458,-123.012923,2
1605,402768,97,51.63,519.747,38.800553,-123.013208,2
1606,402769,97,52.5,521.285,38.813041,-123.012302,2
1607,402770,97,52.5,520.617,38.813021,-123.01259099999999,2
1608,402773,97,54.4,522.529,38.831117,-123.01490600000001,2
1609,402774,97,54.4,521.861,38.830813,-123.01488300000001,2
1610,402775,97,55.0,523.129,38.838136999999996,-123.0207,2
1611,402776,97,55.0,522.461,38.837892,-123.02079199999999,2
1612,402777,97,55.58,523.7090000000001,38.844485999999996,-123.026976,2
1613,402778,97,55.58,523.0409999999999,38.844327,-123.02705800000001,2
1614,402779,97,56.0,524.129,38.849907,-123.0299,2
